,buyerName,rating,reviewContent,reviewTime
0,A***a,5,"agak kecewa sama bahan ya ternyata cringkel salah saya sendiri si nggak baca kebawah Celana kargo serbaguna untuk berbagai acara., Kain nyaman dan bernapas., Celana kargo yang trendi dan fungsional., Celana kargo yang stylish dan modis.,  ",20 Des 2023
1,Monica,5,"Bahan: adem tp ga begitu tipis
 Ukuran: jumbo
 Rancangan: 
bahanya adem banget enak buat sehari hari aja sih, udh pesen size jumbo tp di paha ngepas dan cuman rada kepanjangan aja sih cuma oke harganya murah jadi buat sehari hari aja .. dan sampenya  cepet banget  ",18 Des 2023
2,oooo,5,"baguuussss, di aku tinggi 165 pas ga cingkrang,, trs ya sesuai harga lah,, warnanya beda sama difoto,, bjku 50 kebesaran bagian pinggang
 ","1  hari lalu
"
3,R***a,5,"Bahan:bagus
 Ukuran:kebesaran 
 Rancangan:ok

bagus celananya sesuai yang dipesan, tapi pinggangnya kegedean dikit sm kepanjangan TB/bb ku 151/41. Tapi gpp bisa dikecilin. Trs warna putihnya nerawang harus pake legging lgi ","3  minggu lalu
"
4,R***a,5,"Bahan:bagus
 Ukuran:pinggangnya kebesaran dikit


Bagus celananya, sesuai yg dipesan. Tapi sayang agak kegedean doang sih, tb/bb ku 151/41. Tapi gpp ntar bisa dikecilin

 ","3  minggu lalu
"
5,*********541,5,skstkalxhldhldyr5is5isiyhxbzgkzfjstjdupfp gkzfjTidyfilv nvjlxti ,17 Des 2023
6,Ayuk I.,4,pengiriman cepat kurir ramah...bahanya gak sesuai ekspektasi ku tp gpp lah harga segitu kan ya...makasih ,14 Des 2023
7,Novia R.,5,"Alhamdulillah barang sudah sampai dengan aman terimakasih seller Lazada dan Abang kurirnya

 Bahan:lembut dan halus sedikit terawang 
 Ukuran:pas untuk anak ku karena ada karet 
 Rancangan:sesuai keinginan
proses pengiriman cepat.Sekalilagi terimakasih untuk semuanya  ",05 Nov 2023
8,N***.,4,"Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit., Kain nyaman dan bernapas.,  ","3  minggu lalu
"
9,Viraa,5,"Bagus untuk aktivitas di luar ruangan., Desain highwaist sedang trendi., Pas sempurna dengan desain high waist., Kain nyaman dan bernapas.,  ",02 Des 2023
10,mamah R.,5,ukuran dan warna sesuai permintaan. tokonya amanah. katinganya bagus pas di badan. cuma jahitannya kendur2. di pakai sekali bolong2 lepas benang. ,"1  hari lalu
"
11,c***.,5,"bagussss banget dong rekomen dehh pokoknya buat  kalian""✌️😊 ","5  hari lalu
"
12,Amira S.,5,"Celana kargo yang stylish dan modis., Bahan yang tahan lama untuk penggunaan jangka panjang., Pas sempurna dengan desain high waist., Bagus untuk aktivitas di luar ruangan., Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit., Celana kargo serbaguna untuk berbagai acara.,  ",15 Jan 2024
13,guest,5,"Pas sempurna dengan desain high waist., Kain nyaman dan bernapas.,  ",05 Des 2023
14,Khofifah I.,5,"Beragam pilihan warna yang dapat dipilih., Celana kargo yang trendi dan fungsional., Bahan yang tahan lama untuk penggunaan jangka panjang., Mudah dipadukan dengan berbagai outfit.,  ","21 jam lalu
"
15,Elga P.,5,"Bahan:bagus
 Ukuran:pas
 Rancangan:sangat bagus  ","5  hari lalu
"
16,Third-Party-User,5,bahannya bagus trm ksh,07 Des 2023
17,Sukmawati,5,"bagusss ikh suka,smga jadi langganan aku yah ",22 Des 2023
18,A***.,5,"Bagus untuk aktivitas di luar ruangan., Bahan yang tahan lama untuk penggunaan jangka panjang.,  ",02 Des 2023
19,guest,5,"Mudah dipadukan dengan berbagai outfit., Celana kargo yang trendi dan fungsional.,  ",05 Des 2023
20,vika A.,5,"barang sudah sampai.. 
paket sesuai pesanan.. 
bhan nya adem. lembut dan jatuh.
kurir nya baik.. 
thanks seller.",01 Des 2023
21,8***4,5,"celananya udah sampe agak kepanjangan di aku,bagian paha agak ngetat tapi bawahnya longgar ",02 Jan 2024
22,d***.,5,"Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis.,  ","1  minggu lalu
"
23,Lidia,5,bagus sesuailah Sama harganya sukses trs buat tokonya amanah juga ,"1  minggu lalu
"
24,0***6,5,Ukuran:bagus sesuai n muat d BB 60kg bahannya jga adem n lentur bagus bngt ,07 Des 2023
25,Dhirfin,5,"celananya bagus dri yg sblum nya,ini ada kancing+sleting,mantappp thanks ka next ambil wrna lain lgi ","2  minggu lalu
"
26,Reni A.,5,alhamdulillah sesuai pesanan sukses terus buat tokonya trimaksih ,09 Des 2023
27,V***.,5,"Mudah dipadukan dengan berbagai outfit., Kain nyaman dan bernapas., Bagus untuk aktivitas di luar ruangan., Pas sempurna dengan desain high waist., Celana kargo yang trendi dan fungsional., Desain highwaist sedang trendi.,  ",28 Des 2023
28,8***7,5,"Bahan:tebell nggk nerawang 
 Ukuran:agak kegedean
 ",09 Nov 2023
29,C***.,5,"Celana kargo yang trendi dan fungsional.,  ",06 Des 2023
30,Komaria N.,5,"realpict...
Hanya saja aku pesan 3, dan yg warna hitam harusnya ukuran jumbo...tp dikirim satu ukuran standar  ",08 Des 2023
31,8***7,5,"bgus banget huhu, penjualnya ramah banget malemnya saya minta di percepat pengirimannya besoknya langsung di kirim huhuu happy bngttt 😭🙏🏻 makasih banyak, BUAT CALON PEMBELI KALIAN HARUS BELI DI SINI HARGANYA WORTH IT BANGET dan juga bahannya bagusss! bangwtttt!!  ",15 Des 2023
